Student ID,Gender,Age,School,Math Score,Reading Score,Writing Score,Class Performance
249,Male,17,B,91,85,69,D
250,Male,20,A,90,65,73,C
251,Male,17,D,74,80,92,B
252,Female,19,C,95,75,82,A
253,Male,21,D,90,62,74,C
254,Female,21,B,97,84,66,D
255,Female,21,A,93,72,88,A
256,Female,19,A,,88,75,D
257,Female,19,A,61,79,95,A
258,Female,18,B,99,91,61,D
259,Female,19,B,64,82,99,D
260,Female,19,A,72,66,61,D
261,Female,19,A,97,61,80,A
262,Female,20,A,70,70,94,D
263,Female,20,D,99,88,70,B
264,Female,18,D,72,97,95,C
265,Male,20,B,68,80,75,C
266,Male,18,C,71,76,82,A
267,Male,20,B,,91,67,A
268,Female,20,E,100,83,61,B
269,Male,17,E,70,99,68,B
270,Female,18,C,114,92,100,A
271,Female,18,C,83,,98,C
272,Male,18,A,,64,87,D
273,Male,17,C,78,72,83,C
274,Male,17,E,74,,94,A
275,Female,18,C,84,93,,B
276,Male,19,E,65,84,80,B
277,Male,20,C,75,99,91,A
278,Male,20,C,76,84,61,C
279,Male,18,E,70,85,83,A
280,Male,19,D,83,,68,C
281,Female,20,B,,82,74,C
282,Female,21,E,83,63,82,B
283,Female,18,E,93,78,83,D
284,Male,18,A,62,80,66,B
285,Female,19,B,70,87,68,A
286,Male,19,D,91,98,99,A
287,Female,21,C,71,65,73,C
288,Male,17,C,64,60,72,B
289,Female,18,D,79,87,,B
290,Male,20,C,95,61,80,D
291,Male,18,D,92,95,68,A
292,Female,18,A,87,64,64,A
293,Male,18,D,70,67,87,D
294,Male,21,B,61,78,61,C
295,Female,21,E,83,99,94,B
296,Female,21,A,85,68,96,C
297,Male,21,A,96,78,64,C
298,Male,20,D,87,94,70,C
299,Male,21,B,,73,83,D
300,Female,20,C,64,96,60,B
301,Female,18,D,72,86,79,D
302,Male,19,E,96,82,90,B
303,Female,17,A,66,98,65,D
304,Female,20,C,83,61,,C
305,Female,20,C,89,74,62,A
306,Male,17,C,63,87,72,D
307,Male,20,A,99,99,79,A
308,Female,17,A,100,,83,A
309,Male,20,D,95,85,79,D
310,Female,21,A,95,83,74,B
311,Male,21,D,88,77,70,B
312,Female,21,D,79,68,,D
313,Female,21,E,89,82,73,C
314,Female,17,B,66,86,90,A
315,Female,17,A,100,67,84,C
316,Female,19,B,72,98,98,B
317,Male,19,B,70,72,72,D
318,Female,19,C,72,75,82,A
319,Female,19,C,93,80,80,C
320,Male,19,A,96,80,85,C
321,Female,20,B,96,82,95,A
322,Female,18,C,60,77,88,B
323,Male,17,A,100,73,72,A
324,Male,17,B,,76,98,A
325,Female,19,E,72,100,81,B
326,Female,19,B,71,98,100,D
327,Male,17,B,63,97,81,C
328,Female,19,D,79,69,67,B
329,Female,20,A,74,85,95,B
330,Female,19,B,75,62,95,B
331,Male,17,A,77,75,82,B
332,Male,21,B,77,66,61,A
333,Female,19,E,,92,94,A
334,Male,20,B,62,83,62,D
335,Female,20,C,84,75,,D
336,Female,17,A,100,79,63,C
337,Male,17,B,73,87,77,A
338,Female,19,A,80,75,83,D
339,Female,17,B,71,93,86,C
340,Male,18,C,91,97,86,A
341,Female,17,C,77,89,68,A
342,Male,21,D,62,89,,B
343,Male,17,D,67,81,83,D
344,Female,20,B,93,65,67,B
345,Female,19,B,84,60,71,D
346,Male,20,D,90,79,136,B
347,Female,19,D,68,80,,A
348,Female,18,A,61,64,79,B
349,Male,19,E,61,63,65,B
350,Male,20,C,65,92,67,D
351,Male,20,B,70,88,87,A
352,Male,21,D,97,61,96,D
353,Male,20,A,72,64,96,B
354,Male,17,E,80,64,91,A
355,Female,17,A,88,91,90,C
356,Male,17,C,78,71,84,B
357,Female,19,A,74,61,80,C
358,Male,20,E,,75,93,C
359,Male,21,C,77,76,73,A
360,Male,17,D,94,89,66,D
361,Male,18,D,82,,93,C
362,Female,21,A,93,76,,A
363,Female,19,B,73,85,93,C
364,Male,19,E,71,76,80,C
365,Male,20,B,79,80,73,B
366,Male,20,D,84,85,87,C
367,Female,21,A,78,90,60,A
368,Female,19,D,123,61,78,D
369,Female,17,C,77,74,84,D
370,Female,17,E,89,97,85,A
371,Female,19,C,84,64,94,A
372,Male,20,C,69,60,61,C
373,Male,17,B,72,77,88,C
374,Female,21,B,82,68,67,A
375,Female,19,E,96,65,97,B
376,Male,21,D,78,79,,D
377,Male,17,C,92,81,86,A
378,Female,21,B,68,84,69,C
379,Male,21,C,63,98,66,A
380,Female,19,A,82,,94,A
381,Male,17,E,97,88,69,B
382,Female,18,A,89,85,80,B
383,Male,21,A,64,88,67,C
384,Male,18,A,79,77,65,D
385,Female,21,C,100,80,66,D
386,Female,19,E,68,94,60,A
387,Male,21,E,80,90,80,D
388,Male,18,D,86,69,62,C
389,Female,21,C,,72,85,D
390,Male,20,D,94,86,89,A
391,Female,17,C,,62,89,C
392,Female,17,B,82,61,93,D
393,Female,19,D,,93,93,B
394,Male,18,D,95,83,71,B
395,Male,17,E,63,82,79,D
396,Female,18,C,100,83,89,D
397,Female,20,B,64,,81,B
398,Male,17,C,92,92,64,B
399,Male,18,E,93,60,61,A
400,Male,20,C,98,96,67,C
401,Male,19,E,72,67,88,A
402,Female,20,C,68,71,65,C
403,Female,18,A,82,62,67,C
404,Female,19,E,87,75,91,C
405,Female,17,D,86,77,79,C
406,Female,19,B,80,94,95,B
407,Female,17,E,97,79,90,B
408,Male,17,E,75,,87,A
409,Male,20,E,73,75,74,B
410,Male,17,B,84,85,87,D
411,Male,21,C,67,97,64,A
412,Male,20,D,60,70,63,B
413,Male,20,E,72,69,78,A
414,Male,21,D,87,89,98,B
415,Female,18,D,87,67,66,C
416,Female,17,E,68,84,80,A
417,Male,17,A,96,98,61,A
418,Female,21,A,60,98,77,D
419,Female,19,D,93,96,93,D
420,Male,20,E,77,91,65,D
421,Male,18,E,64,73,84,C
422,Male,20,C,100,65,68,D
423,Female,21,E,77,75,60,A
424,Male,21,B,73,76,99,A
425,Female,21,B,95,,76,D
426,Female,19,E,77,74,98,C
427,Female,21,C,73,100,83,B
428,Male,18,E,61,76,75,D
429,Female,20,D,,85,93,D
430,Female,19,D,94,78,84,C
431,Female,20,A,89,88,67,C
432,Male,19,D,100,74,99,C
433,Female,17,E,,61,75,D
434,Male,21,B,65,89,66,C
435,Female,18,E,60,65,63,A
436,Male,19,A,83,89,94,B
437,Female,21,B,,98,77,C
438,Male,20,C,98,82,62,C
439,Female,17,E,68,60,99,C
440,Female,20,A,76,73,93,A
441,Male,20,E,68,63,68,D
442,Male,20,B,74,88,94,C
443,Male,21,B,61,84,65,D
444,Male,21,B,126,68,81,D
445,Female,19,A,65,90,86,D
446,Female,19,E,74,91,88,A
447,Male,18,C,99,81,68,B
448,Male,21,C,95,68,82,A
449,Male,18,B,67,75,71,D
450,Female,21,C,65,61,72,C
451,Female,21,B,95,137,86,B
452,Female,21,C,62,80,81,D
453,Male,19,A,81,71,74,D
454,Male,18,D,98,70,63,A
455,Female,20,C,82,86,92,C
456,Female,19,E,95,87,73,D
457,Male,18,D,74,83,63,C
458,Male,18,D,95,69,90,D
459,Female,20,D,80,82,94,C
460,Male,18,D,62,,84,D
461,Female,18,B,72,66,98,D
462,Female,21,A,66,74,75,C
463,Male,21,B,,90,60,C
464,Female,18,C,90,97,77,A
465,Male,19,B,69,97,80,B
466,Female,18,A,86,97,91,B
467,Male,19,C,91,96,93,A
468,Male,17,A,99,88,99,A
469,Female,19,A,69,69,81,A
470,Male,21,C,89,95,83,A
471,Female,19,C,73,91,90,B
472,Male,17,D,60,73,88,A
473,Female,17,B,67,69,71,D
474,Female,17,D,98,90,89,D
475,Male,17,A,71,63,95,B
476,Male,19,C,,89,73,A
477,Male,20,E,61,64,67,D
478,Male,20,B,63,86,69,D
479,Female,17,D,70,86,96,C
480,Male,19,E,93,96,64,A
481,Female,20,C,97,83,76,C
482,Female,18,E,85,67,83,A
483,Female,20,E,66,75,64,D
484,Male,17,E,72,88,90,A
485,Male,20,B,73,89,87,C
486,Male,18,D,99,98,94,A
487,Male,17,C,99,60,68,B
488,Female,17,D,69,90,77,D
489,Male,20,A,,84,96,B
490,Male,17,D,62,75,99,B
491,Male,17,B,98,92,96,C
492,Male,21,E,96,92,,B
493,Male,19,D,93,78,89,A
494,Female,17,A,95,84,96,A
495,Male,21,C,95,96,96,D
496,Male,17,D,60,63,96,D
497,Female,17,A,90,77,126,B
498,Male,17,B,87,69,87,C
499,Male,19,D,91,100,81,C
500,Male,20,B,60,86,76,B
501,Male,19,A,83,84,75,C
502,Female,20,B,61,,60,D
503,Female,18,A,63,100,70,A
504,Female,18,A,66,68,87,A
505,Female,21,E,93,64,91,A
506,Male,20,B,77,83,149,A
507,Female,20,E,83,97,61,A
508,Male,17,B,79,68,69,C
509,Male,17,D,65,99,65,A
510,Female,20,D,98,91,70,A
511,Male,17,B,,90,93,C
512,Female,21,D,61,75,76,C
513,Female,17,E,90,96,63,C
514,Male,19,E,85,94,81,D
515,Male,21,B,82,71,91,C
516,Female,17,C,72,69,96,A
517,Male,17,D,76,77,70,A
518,Male,19,D,72,,88,A
519,Male,20,B,85,85,,C
520,Female,18,E,93,82,63,D
521,Male,20,D,93,73,65,B
522,Male,18,E,,88,92,B
523,Female,19,C,67,93,64,D
524,Male,19,B,63,92,95,A
525,Female,19,C,95,97,100,A
526,Female,21,D,,91,98,B
527,Female,20,E,67,69,76,A
528,Male,17,D,67,65,97,D
529,Female,20,A,93,97,99,A
530,Female,20,B,79,81,,C
531,Male,21,D,94,61,100,B
532,Male,20,D,97,62,73,C
533,Female,18,C,67,,95,C
534,Female,17,B,63,93,100,B
535,Female,17,C,77,69,87,D
536,Male,20,D,97,88,96,A
537,Male,21,D,72,62,83,D
538,Female,19,D,76,72,75,C
539,Male,19,D,76,63,80,D
540,Female,21,E,90,,90,A
541,Female,21,B,75,87,77,D
542,Male,21,B,94,96,75,D
543,Male,17,C,130,62,83,D
544,Female,21,C,63,65,96,D
545,Female,21,A,,88,99,A
546,Female,21,C,70,94,63,B
547,Male,17,B,93,73,80,D
548,Female,18,C,123,88,62,D
549,Female,17,E,78,76,72,B
550,Male,20,A,86,63,84,C
551,Male,17,E,90,87,98,A
552,Female,17,A,64,60,65,D
553,Male,17,C,64,97,92,D
554,Female,17,E,99,75,62,A
555,Female,18,A,73,81,96,D
556,Male,21,E,80,76,97,D
557,Male,21,A,63,100,79,C
558,Male,20,E,87,72,92,C
559,Male,20,D,66,84,90,C
560,Male,19,A,64,72,62,A
561,Female,21,D,67,93,95,B
562,Male,21,A,,79,99,B
563,Male,19,B,76,87,100,A
564,Male,21,D,81,100,73,C
565,Female,19,A,73,93,,C
566,Male,20,B,77,69,63,D
567,Male,17,C,94,76,80,B
568,Female,17,D,96,75,62,B
569,Female,19,C,,86,92,B
570,Female,19,E,80,82,61,C
571,Female,17,A,92,96,97,D
572,Female,19,B,91,128,92,B
573,Male,17,A,98,68,64,A
574,Male,19,B,91,62,85,C
575,Male,18,B,76,72,70,D
576,Female,19,C,64,79,79,A
577,Female,18,A,61,77,66,C
578,Male,18,B,100,82,82,B
579,Female,18,A,86,65,75,C
580,Male,20,E,66,67,66,D
581,Female,17,D,91,92,65,C
582,Female,18,E,75,70,60,D
583,Male,20,C,85,89,75,D
584,Female,17,D,81,81,87,D
585,Male,20,D,67,71,95,C
586,Female,17,E,79,86,75,A
587,Male,20,A,,70,94,D
588,Female,21,B,64,83,67,D
589,Male,18,D,78,81,63,C
590,Male,21,C,70,90,77,B
591,Female,17,B,79,67,72,B
592,Female,18,D,64,74,86,C
593,Female,19,D,77,99,78,B
594,Female,18,E,79,76,84,B
595,Male,20,C,73,80,73,D
596,Female,20,A,66,96,81,D
597,Male,18,D,95,78,93,A
598,Female,21,D,76,60,100,D
599,Male,21,B,72,88,70,B
600,Male,19,B,87,99,,B
601,Female,17,C,96,77,74,D
602,Male,18,B,94,78,65,A
603,Male,18,E,74,125,61,A
604,Female,19,C,61,70,73,B
605,Female,21,D,85,67,69,C
606,Female,20,E,,77,67,C
607,Male,20,C,94,74,86,B
608,Female,18,C,72,76,77,A
609,Male,19,D,93,76,79,B
610,Male,18,C,,76,86,B
611,Male,18,B,62,86,65,B
612,Male,20,D,91,141,70,A
613,Female,21,E,98,67,98,C
614,Male,21,B,149,66,93,B
615,Female,20,D,67,89,69,D
616,Male,20,E,64,133,67,B
617,Female,18,A,64,62,90,B
618,Female,21,E,78,80,91,D
619,Female,20,C,60,81,,B
620,Female,17,C,96,99,68,B
621,Male,17,C,99,80,66,D
622,Female,17,D,100,60,82,D
623,Male,18,C,61,96,63,A
624,Male,20,C,79,99,96,A
625,Female,18,E,87,60,84,C
626,Male,21,D,94,87,88,D
627,Male,17,B,94,68,68,B
628,Female,17,E,61,85,96,C
629,Male,20,A,92,86,97,B
630,Male,18,A,68,69,,A
631,Female,18,B,64,79,73,D
632,Female,20,C,,83,75,A
633,Male,21,E,100,84,69,B
634,Male,20,D,92,75,79,D
635,Female,17,C,77,97,66,C
636,Male,18,E,90,74,84,B
637,Male,17,C,65,89,67,D
638,Female,17,D,78,89,88,C
639,Male,18,B,94,100,86,B
640,Male,21,E,71,87,93,D
641,Male,21,A,63,100,68,B
642,Male,21,A,77,84,100,C
643,Female,21,E,86,86,77,B
644,Male,18,E,100,74,78,D
645,Female,18,A,78,89,,D
646,Male,18,B,71,88,88,C
647,Female,18,E,90,91,96,B
648,Male,21,C,72,71,75,D
649,Male,18,B,91,88,76,C
650,Female,18,A,67,62,73,C
651,Male,18,C,98,91,73,A
652,Female,20,B,62,80,,B
653,Male,20,C,87,74,65,C
654,Male,17,A,72,92,62,A
655,Male,18,D,74,,66,D
656,Female,18,A,63,66,74,B
657,Male,18,E,92,,68,C
658,Male,21,B,97,79,69,D
659,Female,20,A,80,63,78,B
660,Male,18,E,96,88,99,D
661,Male,21,E,80,86,135,C
662,Female,17,B,92,70,62,D
663,Male,19,A,86,82,81,C
664,Female,21,E,82,63,65,A
665,Male,21,C,60,72,60,D
666,Female,17,A,91,90,85,C
667,Male,20,C,86,81,88,C
668,Female,17,B,72,91,67,C
669,Female,19,D,63,92,146,B
670,Male,21,C,75,111,85,D
671,Female,20,D,90,66,99,B
672,Male,20,A,79,138,65,D
673,Female,17,B,,98,73,C
674,Male,21,D,68,75,63,A
675,Male,20,C,75,71,63,A
676,Male,18,E,81,,67,C
677,Female,20,D,90,71,98,D
678,Female,17,A,67,92,,C
679,Female,19,E,61,90,78,C
680,Male,18,B,99,134,72,B
681,Female,17,E,82,85,,B
682,Female,21,E,65,77,68,B
683,Female,18,B,85,67,65,D
684,Male,21,E,67,81,93,A
685,Female,19,E,75,64,81,C
686,Male,17,D,91,61,97,A
687,Male,19,B,72,60,62,A
688,Male,21,C,83,68,93,A
689,Female,18,C,84,62,61,D
690,Female,18,D,91,69,72,A
691,Female,19,C,112,84,64,B
692,Male,17,B,77,95,73,D
693,Female,21,C,66,,100,D
694,Female,21,E,63,99,77,C
695,Female,21,D,96,69,100,B
696,Male,21,E,85,61,67,A
697,Female,17,B,60,62,90,D
698,Male,17,A,76,97,97,C
699,Female,19,D,93,82,94,D
700,Male,18,C,72,67,86,B
701,Female,17,B,83,72,91,D
702,Male,19,C,83,64,63,D
703,Male,18,E,72,60,61,B
704,Female,17,D,70,99,68,D
705,Female,18,A,76,63,79,C
706,Female,21,C,79,64,94,C
707,Female,21,E,67,76,61,D
708,Male,17,A,71,88,77,A
709,Male,18,C,74,77,98,D
710,Female,18,E,87,73,64,A
711,Female,19,E,76,89,85,D
712,Female,17,D,73,69,69,A
713,Male,17,C,73,72,88,B
714,Female,19,E,84,72,98,D
715,Female,17,B,67,66,86,D
716,Male,20,B,87,,90,B
717,Male,19,E,99,70,96,A
718,Female,19,E,61,78,79,D
719,Male,19,B,61,76,96,D
720,Male,20,D,89,62,92,B
721,Female,19,D,66,70,63,D
722,Female,18,D,63,65,99,B
723,Female,19,A,75,88,72,A
724,Male,21,A,82,86,65,D
725,Male,20,B,,93,60,D
726,Female,17,C,84,74,94,D
727,Male,20,A,97,84,72,A
728,Male,20,D,60,100,75,B
729,Female,19,C,62,71,74,C
730,Male,21,B,100,63,72,B
731,Female,21,B,60,68,67,A
732,Female,20,B,90,77,77,B
733,Female,17,E,89,60,83,D
734,Male,18,D,100,100,67,A
735,Male,20,A,79,98,81,C
736,Male,21,C,86,66,89,C
737,Male,21,A,94,76,95,B
738,Female,21,D,,86,69,A
739,Female,20,D,84,67,64,A
740,Female,17,C,91,73,65,B
741,Female,17,D,88,91,91,A
742,Female,17,D,75,,63,D
743,Male,21,E,62,67,67,D
744,Female,20,E,87,62,66,A
745,Female,17,E,77,64,70,D
746,Male,20,D,78,88,,A
747,Male,17,C,80,85,95,A
748,Male,18,C,75,100,99,B
749,Male,19,B,94,83,85,C
750,Female,21,E,72,62,75,A
751,Female,21,A,62,93,86,B
752,Female,17,C,63,98,80,C
753,Female,18,E,95,89,62,D
754,Female,21,A,97,94,84,A
755,Male,19,C,96,69,93,B
756,Male,18,A,62,62,76,D
757,Female,18,D,88,78,60,A
758,Male,18,A,86,72,,C
759,Female,18,B,63,100,82,D
760,Male,21,D,98,95,84,A
761,Female,18,A,70,71,86,A
762,Male,21,C,65,61,80,A
763,Male,21,A,88,66,79,B
764,Female,18,C,68,61,99,D
765,Female,17,B,76,98,64,A
766,Female,19,E,97,65,63,A
767,Male,19,C,92,72,100,D
768,Male,18,C,90,99,61,C
769,Female,18,C,92,89,77,D
770,Female,19,D,65,80,84,A
771,Female,20,B,70,65,73,B
772,Female,17,A,85,81,74,D
773,Female,21,C,99,89,74,C
774,Male,19,C,72,75,74,B
775,Male,20,E,89,93,95,B
776,Male,21,B,82,87,84,B
777,Male,20,E,60,69,63,D
778,Female,20,A,81,87,70,A
779,Female,21,B,93,63,94,A
780,Female,21,E,83,61,75,D
781,Male,19,A,,63,64,C
782,Male,19,B,88,69,100,C
783,Female,17,D,97,91,67,B
784,Male,18,C,72,88,77,A
785,Male,18,A,76,76,90,D
786,Male,20,E,76,70,85,B
787,Male,17,E,64,88,75,B
788,Male,18,A,71,94,67,D
789,Female,17,A,100,69,98,A
790,Male,20,A,72,68,78,A
791,Female,19,D,72,76,74,B
792,Female,19,C,70,65,60,C
793,Male,21,E,73,91,67,D
794,Male,19,C,68,87,71,A
795,Male,17,E,,91,61,B
796,Male,17,E,60,73,81,A
797,Male,19,B,74,74,96,B
798,Male,20,A,79,61,97,A
799,Female,19,E,91,84,71,A
800,Female,19,D,68,74,74,A
801,Female,17,B,64,62,99,C
802,Female,21,D,69,99,72,D
803,Female,21,A,63,78,85,A
804,Female,21,B,98,69,86,D
805,Male,21,A,70,65,64,A
806,Male,19,D,,91,95,D
807,Female,21,A,75,66,87,A
808,Female,21,B,81,79,69,B
809,Female,21,A,91,78,60,A
810,Male,17,C,70,99,100,B
811,Male,21,B,91,74,,A
812,Female,21,B,73,68,86,B
813,Female,20,E,78,89,77,D
814,Female,21,C,76,82,92,A
815,Male,19,E,89,98,71,D
816,Male,21,E,85,93,,A
817,Male,18,B,63,76,74,A
818,Male,18,B,63,117,63,D
819,Female,18,A,60,91,,D
820,Male,17,A,89,60,,B
821,Female,21,D,,62,90,A
822,Female,21,A,86,77,82,B
823,Female,21,D,,90,88,A
824,Male,18,D,73,88,100,B
825,Female,20,E,62,85,90,C
826,Male,18,A,98,71,73,B
